"No.","Time","Source","Destination","Protocol","Length","Info"
"19","0.563838","10.112.112.11","10.112.112.19","ICMP","74","Echo (ping) request  id=0x0001, seq=5082/55827, ttl=128 (reply in 24)"
"24","0.667673","10.112.112.19","10.112.112.11","ICMP","74","Echo (ping) reply    id=0x0001, seq=5082/55827, ttl=255 (request in 19)"
"46","1.578151","10.112.112.11","10.112.112.19","ICMP","74","Echo (ping) request  id=0x0001, seq=5083/56083, ttl=128 (reply in 50)"
"47","1.735361","10.112.112.11","202.39.224.7","ICMP","58","Echo (ping) request  id=0x0001, seq=5084/56339, ttl=255 (no response found!)"
"50","1.793591","10.112.112.19","10.112.112.11","ICMP","74","Echo (ping) reply    id=0x0001, seq=5083/56083, ttl=255 (request in 46)"
"71","2.592120","10.112.112.11","10.112.112.19","ICMP","74","Echo (ping) request  id=0x0001, seq=5085/56595, ttl=128 (reply in 74)"
"74","2.601830","10.112.112.19","10.112.112.11","ICMP","74","Echo (ping) reply    id=0x0001, seq=5085/56595, ttl=255 (request in 71)"
"103","3.604732","10.112.112.11","10.112.112.19","ICMP","74","Echo (ping) request  id=0x0001, seq=5086/56851, ttl=128 (reply in 106)"
"106","3.843563","10.112.112.19","10.112.112.11","ICMP","74","Echo (ping) reply    id=0x0001, seq=5086/56851, ttl=255 (request in 103)"
"125","4.622410","10.112.112.11","10.112.112.19","ICMP","74","Echo (ping) request  id=0x0001, seq=5087/57107, ttl=128 (reply in 130)"
"129","4.744741","10.112.112.11","202.39.224.7","ICMP","58","Echo (ping) request  id=0x0001, seq=5088/57363, ttl=255 (no response found!)"
"130","4.762177","10.112.112.19","10.112.112.11","ICMP","74","Echo (ping) reply    id=0x0001, seq=5087/57107, ttl=255 (request in 125)"
"155","5.639464","10.112.112.11","10.112.112.19","ICMP","74","Echo (ping) request  id=0x0001, seq=5089/57619, ttl=128 (reply in 158)"
"158","5.783481","10.112.112.19","10.112.112.11","ICMP","74","Echo (ping) reply    id=0x0001, seq=5089/57619, ttl=255 (request in 155)"
"178","6.654750","10.112.112.11","10.112.112.19","ICMP","74","Echo (ping) request  id=0x0001, seq=5090/57875, ttl=128 (reply in 183)"
"183","6.813499","10.112.112.19","10.112.112.11","ICMP","74","Echo (ping) reply    id=0x0001, seq=5090/57875, ttl=255 (request in 178)"
"201","7.665263","10.112.112.11","10.112.112.19","ICMP","74","Echo (ping) request  id=0x0001, seq=5091/58131, ttl=128 (reply in 208)"
"202","7.733433","10.112.112.11","202.39.224.7","ICMP","58","Echo (ping) request  id=0x0001, seq=5092/58387, ttl=255 (no response found!)"
"208","7.957241","10.112.112.19","10.112.112.11","ICMP","74","Echo (ping) reply    id=0x0001, seq=5091/58131, ttl=255 (request in 201)"
"221","8.679540","10.112.112.11","10.112.112.19","ICMP","74","Echo (ping) request  id=0x0001, seq=5093/58643, ttl=128 (reply in 227)"
"227","8.965855","10.112.112.19","10.112.112.11","ICMP","74","Echo (ping) reply    id=0x0001, seq=5093/58643, ttl=255 (request in 221)"
"243","9.685214","10.112.112.11","10.112.112.19","ICMP","74","Echo (ping) request  id=0x0001, seq=5094/58899, ttl=128 (reply in 255)"
"255","9.881010","10.112.112.19","10.112.112.11","ICMP","74","Echo (ping) reply    id=0x0001, seq=5094/58899, ttl=255 (request in 243)"
"295","10.705303","10.112.112.11","10.112.112.19","ICMP","74","Echo (ping) request  id=0x0001, seq=5095/59155, ttl=128 (reply in 314)"
"296","10.732484","10.112.112.11","202.39.224.7","ICMP","58","Echo (ping) request  id=0x0001, seq=5096/59411, ttl=255 (no response found!)"
"314","10.908131","10.112.112.19","10.112.112.11","ICMP","74","Echo (ping) reply    id=0x0001, seq=5095/59155, ttl=255 (request in 295)"
"340","11.716939","10.112.112.11","10.112.112.19","ICMP","74","Echo (ping) request  id=0x0001, seq=5097/59667, ttl=128 (reply in 343)"
"343","11.826087","10.112.112.19","10.112.112.11","ICMP","74","Echo (ping) reply    id=0x0001, seq=5097/59667, ttl=255 (request in 340)"
"371","12.730886","10.112.112.11","10.112.112.19","ICMP","74","Echo (ping) request  id=0x0001, seq=5098/59923, ttl=128 (reply in 372)"
"372","12.746285","10.112.112.19","10.112.112.11","ICMP","74","Echo (ping) reply    id=0x0001, seq=5098/59923, ttl=255 (request in 371)"
"392","13.746274","10.112.112.11","10.112.112.19","ICMP","74","Echo (ping) request  id=0x0001, seq=5099/60179, ttl=128 (reply in 399)"
"393","13.747770","10.112.112.11","202.39.224.7","ICMP","58","Echo (ping) request  id=0x0001, seq=5100/60435, ttl=255 (no response found!)"
"399","13.874345","10.112.112.19","10.112.112.11","ICMP","74","Echo (ping) reply    id=0x0001, seq=5099/60179, ttl=255 (request in 392)"
"429","14.740336","2401:4900:8091:bde9:b041:9eb7:bb0d:88cc","2401:4900:8091:bde9::cc","ICMPv6","86","Neighbor Solicitation for 2401:4900:8091:bde9::cc from 10:5f:ad:58:d6:c1"
"430","14.743705","2401:4900:8091:bde9::cc","2401:4900:8091:bde9:b041:9eb7:bb0d:88cc","ICMPv6","78","Neighbor Advertisement 2401:4900:8091:bde9::cc (rtr, sol)"
"431","14.755912","10.112.112.11","10.112.112.19","ICMP","74","Echo (ping) request  id=0x0001, seq=5101/60691, ttl=128 (reply in 432)"
"432","14.796624","10.112.112.19","10.112.112.11","ICMP","74","Echo (ping) reply    id=0x0001, seq=5101/60691, ttl=255 (request in 431)"
"433","14.836630","fe80::9ce8:18ff:fe7f:9001","2401:4900:8091:bde9:b041:9eb7:bb0d:88cc","ICMPv6","86","Neighbor Solicitation for 2401:4900:8091:bde9:b041:9eb7:bb0d:88cc from 9e:e8:18:7f:90:01"
"434","14.836753","2401:4900:8091:bde9:b041:9eb7:bb0d:88cc","fe80::9ce8:18ff:fe7f:9001","ICMPv6","86","Neighbor Advertisement 2401:4900:8091:bde9:b041:9eb7:bb0d:88cc (sol, ovr) is at 10:5f:ad:58:d6:c1"
"515","15.774835","10.112.112.11","10.112.112.19","ICMP","74","Echo (ping) request  id=0x0001, seq=5102/60947, ttl=128 (reply in 526)"
"526","15.827498","10.112.112.19","10.112.112.11","ICMP","74","Echo (ping) reply    id=0x0001, seq=5102/60947, ttl=255 (request in 515)"
"591","16.745428","10.112.112.11","202.39.224.7","ICMP","58","Echo (ping) request  id=0x0001, seq=5103/61203, ttl=255 (no response found!)"
"595","16.784738","10.112.112.11","10.112.112.19","ICMP","74","Echo (ping) request  id=0x0001, seq=5104/61459, ttl=128 (reply in 597)"
"597","16.841672","10.112.112.19","10.112.112.11","ICMP","74","Echo (ping) reply    id=0x0001, seq=5104/61459, ttl=255 (request in 595)"
"640","17.797756","10.112.112.11","10.112.112.19","ICMP","74","Echo (ping) request  id=0x0001, seq=5105/61715, ttl=128 (reply in 643)"
"643","17.868892","10.112.112.19","10.112.112.11","ICMP","74","Echo (ping) reply    id=0x0001, seq=5105/61715, ttl=255 (request in 640)"
"674","18.810939","10.112.112.11","10.112.112.19","ICMP","74","Echo (ping) request  id=0x0001, seq=5106/61971, ttl=128 (reply in 676)"
"676","18.891748","10.112.112.19","10.112.112.11","ICMP","74","Echo (ping) reply    id=0x0001, seq=5106/61971, ttl=255 (request in 674)"
"695","19.733291","10.112.112.11","202.39.224.7","ICMP","58","Echo (ping) request  id=0x0001, seq=5107/62227, ttl=255 (no response found!)"
