"No.","Time","Source","Destination","Protocol","Length","Info"
"13","1.116058","10.112.112.11","10.112.112.19","TCP","54","1883  >  57821 [ACK] Seq=1 Ack=1 Win=65213 Len=0"
"14","1.136530","10.112.112.19","10.112.112.11","MQTT","376","Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor]"
"15","1.187123","10.112.112.11","10.112.112.19","TCP","54","1883  >  57821 [ACK] Seq=1 Ack=323 Win=64891 Len=0"
"17","1.417969","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"19","1.468484","10.112.112.11","10.112.112.19","TCP","54","1883  >  57821 [ACK] Seq=1 Ack=369 Win=64845 Len=0"
"24","2.332273","10.112.112.19","10.112.112.11","MQTT","56","Ping Request"
"25","2.332567","10.112.112.11","10.112.112.19","MQTT","56","Ping Response"
"26","2.735134","10.112.112.11","10.112.112.19","TCP","56","[TCP Retransmission] 1883  >  57821 [PSH, ACK] Seq=1 Ack=371 Win=64843 Len=2"
"27","3.150700","10.112.112.19","10.112.112.11","TCP","54","[TCP Previous segment not captured] 57821  >  1883 [ACK] Seq=417 Ack=3 Win=5692 Len=0"
"31","4.894369","10.112.112.19","10.112.112.11","TCP","100","[TCP Retransmission] 57821  >  1883 [PSH, ACK] Seq=371 Ack=3 Win=5692 Len=46"
"32","4.939099","10.112.112.11","10.112.112.19","TCP","54","1883  >  57821 [ACK] Seq=3 Ack=417 Win=64797 Len=0"
"33","5.010304","10.112.112.19","10.112.112.11","MQTT","146","Publish Message [iot/sensor], Publish Message [iot/sensor]"
"34","5.063424","10.112.112.11","10.112.112.19","TCP","54","1883  >  57821 [ACK] Seq=3 Ack=509 Win=64705 Len=0"
"36","7.452516","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"37","7.494348","10.112.112.11","10.112.112.19","TCP","54","1883  >  57821 [ACK] Seq=3 Ack=555 Win=64659 Len=0"
"405","29.523299","10.112.112.11","10.112.112.19","TCP","54","1883  >  57821 [FIN, ACK] Seq=3 Ack=555 Win=64659 Len=0"
"408","30.255058","10.112.112.11","10.112.112.19","TCP","54","[TCP Retransmission] 1883  >  57821 [FIN, ACK] Seq=3 Ack=555 Win=64659 Len=0"
"411","31.313500","10.112.112.19","10.112.112.11","MQTT","1114","[TCP Previous segment not captured] , Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Ping Request, Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor]"
"412","31.313500","10.112.112.19","10.112.112.11","TCP","58","57822  >  1883 [SYN] Seq=0 Win=5744 Len=0 MSS=1436"
"413","31.313615","10.112.112.11","10.112.112.19","TCP","54","[TCP Dup ACK 37#1] 1883  >  57821 [ACK] Seq=4 Ack=555 Win=64659 Len=0"
"414","31.313979","10.112.112.11","10.112.112.19","TCP","58","1883  >  57822 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"416","31.492349","10.112.112.19","10.112.112.11","TCP","54","57822  >  1883 [ACK] Seq=1 Ack=1 Win=5744 Len=0"
"417","31.492349","10.112.112.19","10.112.112.11","MQTT","84","Connect Command"
"418","31.492896","10.112.112.11","10.112.112.19","MQTT","58","Connect Ack"
"420","31.725734","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"421","31.768516","10.112.112.11","10.112.112.19","TCP","54","1883  >  57822 [ACK] Seq=5 Ack=77 Win=65459 Len=0"
"432","34.897140","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"433","34.938820","10.112.112.11","10.112.112.19","TCP","54","1883  >  57822 [ACK] Seq=5 Ack=123 Win=65413 Len=0"
"438","35.206436","10.112.112.19","10.112.112.11","MQTT","146","Publish Message [iot/sensor], Publish Message [iot/sensor]"
"439","35.251610","10.112.112.11","10.112.112.19","TCP","54","1883  >  57822 [ACK] Seq=5 Ack=215 Win=65321 Len=0"
"440","35.713668","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
